State,District,Market,Market Arrivals (2023),Market Arrivals (2022),% (+/-) WRT(previous year),Market%
Assam,Barpeta,Bohorihat,2658.6,2726.6,-2.49%,0.79%
Assam,Barpeta,Howly,51776.5,54507.8,-5.01%,15.32%
Assam,Cachar,Cachar,10036.2,14300.7,-29.82%,2.97%
Assam,Darrang,Kharupetia,815.7,1505.2,-45.81%,0.24%
Assam,Dhemaji,Silapathar,511.7,514.5,-0.54%,0.15%
Assam,Dhubri,Gauripur,9502.5,9852.9,-3.56%,2.81%
Assam,Dibrugarh,Dibrugarh,6341.4,6345.2,-0.06%,1.88%
Assam,Goalpara,Goalpara,793.7,882.3,-10.04%,0.23%
Assam,Golaghat,Golaghat,5214.3,7514.3,-30.61%,1.54%
Assam,Hailakandi,Hailakandi,3533,7672,-53.95%,1.05%
Assam,Jorhat,Jorhat,64303.5,66189.2,-2.85%,19.03%
Assam,Kamrup,Goreswar,1979.7,1979.7,0%,0.59%
Assam,Kamrup,P.O. Uparhali Guwahati,59801.5,62833.1,-4.82%,17.70%
Assam,Kamrup,Pamohi(Garchuk),26471,25392.9,4.25%,7.83%
Assam,Karimganj,Karimganj,2774,2774,0%,0.82%
Assam,Kokrajhar,Srirampur,3159.1,3159.1,0%,0.93%
Assam,Lakhimpur,North Lakhimpur,596.2,596.2,0%,0.18%
Assam,Marigaon,Kushtholy,35.5,35.5,0%,0.01%
Assam,Nagaon,Dhing,21525.2,21582.5,-0.27%,6.37%
Assam,Nagaon,Lanka,10452,12468.5,-16.17%,3.09%
Assam,Nalbari,Nalbari,4920.1,5715.1,-13.91%,1.46%
Assam,Sibsagar,Sivasagar,1420.1,1420.1,0%,0.42%
Assam,Sonitpur,Dhekiajuli,6396.4,6396.4,0%,1.89%
Assam,Tinsukia,Tinsukia,3973.6,4111.6,-3.36%,1.18%
Bihar,Araria,Arreria,4611.5,2326,98.26%,0.85%
Bihar,Araria,Forbesganj,29400,15948,84.35%,5.44%
Bihar,Araria,Raniganj,1790.5,1069,67.49%,0.33%
Bihar,Arwal,Arwal,1555.9,737,111.11%,0.29%
Bihar,Aurangabad,Aurangabad,3158.94,1524.94,107.15%,0.58%
Bihar,Aurangabad,Daunagar,834.07,625.6,33.32%,0.15%
Bihar,Aurangabad,Kutumba,164.8,79.15,108.21%,0.03%
Bihar,Banka,Amarpur,326.4,223,46.37%,0.06%
Bihar,Banka,Barahat,571.5,155,268.71%,0.11%
Bihar,Banka,Rajaun,302.6,0,0%,0.06%
Bihar,Begusarai,Balliah,5817.4,3446.5,68.79%,1.08%
Bihar,Begusarai,Begusarai,667.5,446,49.66%,0.12%
Bihar,Begusarai,Teghra,591.4,494.9,19.50%,0.11%
Bihar,Bhagalpur,Bhagalpur,2943,1941,51.62%,0.54%
Bihar,Bhagalpur,Kahalgaon,6590.5,2126,210.00%,1.22%
Bihar,Bhagalpur,Naugachiya,990,550,80.00%,0.18%
Bihar,Bhojpur,Aarah,772.1,113.6,579.67%,0.14%
Bihar,Bhojpur,Bihiya,193.09,0,0%,0.04%
Bihar,Bhojpur,Piro,1287.6,638,101.82%,0.24%
Bihar,Buxar,Brahmpur,577.75,324.5,78.04%,0.11%
Bihar,Buxar,Buxur,1643.77,916.27,79.40%,0.30%
Bihar,Buxar,Dumarao,868.6,259.6,234.59%,0.16%
Bihar,Chhapra,Chhapra,15680.1,7010.1,123.68%,2.90%
Bihar,Darbhanga,Bahadurpur (Ekmi Ghat),277.5,89,211.80%,0.05%
Bihar,Darbhanga,Benipir,278,0,0%,0.05%
Bihar,Darbhanga,Biraul,465.9,83,461.33%,0.09%
Bihar,Darbhanga,Darbhanga,8823,5085,73.51%,1.63%
Bihar,East Champaran/ Motihari,Chakia,8698,3926,121.55%,1.61%
Bihar,East Champaran/ Motihari,Madhuban,2985.75,1537.75,94.16%,0.55%
Bihar,East Champaran/ Motihari,Motihari,23538,11246,109.30%,4.36%
Bihar,East Champaran/ Motihari,Raxaul,6472.5,3417.5,89.39%,1.20%
Bihar,Gopalgang,Gopalganj,7234.43,3576.5,102.28%,1.34%
Bihar,Jamui,Jamui,3146.8,2181.8,44.23%,0.58%
Bihar,Jamui,Sikandara,719,0,0%,0.13%
Bihar,Jehanabad,Jehanabad,11568.02,7356,57.26%,2.14%
Bihar,Kaimur/Bhabhua,Kaimur,1317.3,686.5,91.89%,0.24%
Bihar,Kaimur/Bhabhua,Mohana,1732.51,743,133.18%,0.32%
Bihar,Kaithar,Barari,1.42,1.42,0%,0.00%
Bihar,Kaithar,Barsoi,637.1,504.2,26.36%,0.12%
Bihar,Kaithar,"Gerabari, Korha Block",720,281.5,155.77%,0.13%
Bihar,Kaithar,Katihar,1697,1697,0%,0.31%
Bihar,Khagaria,Khagaria,158.37,0,0%,0.03%
Bihar,Khagaria,Mansi Mandi,306.35,213.6,43.42%,0.06%
Bihar,Kishanganj,Bahadurganj,1679.5,878,91.29%,0.31%
Bihar,Kishanganj,Kishanganj,3694.1,2397,54.11%,0.68%
Bihar,Kishanganj,Thakurganj,2700.95,1723.95,56.67%,0.50%
Bihar,Luckeesarai,Lakhisarai,8945,6368,40.47%,1.66%
Bihar,Luckeesarai,Surjyagarha,1206.7,1005,20.07%,0.22%
Bihar,Madhepura,Bihariganj,884.9,469.9,88.32%,0.16%
Bihar,Madhepura,Murliganj,4315.8,3585,20.38%,0.80%
Bihar,Madhepura,Singheswarsthan,681.98,569.5,19.75%,0.13%
Bihar,Madhubani,Benipatti,743.3,623.8,19.16%,0.14%
Bihar,Madhubani,Jahajharpur,1432.55,655.45,118.56%,0.27%
Bihar,Madhubani,Jainagar,373.1,68.7,443.09%,0.07%
Bihar,Madhubani,Madhubani,5470.45,3774.5,44.93%,1.01%
Bihar,Munghair,Munghair,400.4,267.6,49.63%,0.07%
Bihar,Muzaffarpur,Bhagwanpur Mandi,2978,1618,84.05%,0.55%
Bihar,Muzaffarpur,Muzaffarpur,49810,26275,89.57%,9.22%
Bihar,Nalanda,Biharsharif,8978.02,3686.5,143.54%,1.66%
Bihar,Nalanda,Harnaut,3207.5,166.2,1829.90%,0.59%
Bihar,Nawada,Nawada,16477.05,14588.5,12.95%,3.05%
Bihar,Nawada,Rajauli,370.66,34.57,972.20%,0.07%
Bihar,Patna,Bihta,18737,16020,16.96%,3.47%
Bihar,Patna,Danapur,7951,6609,20.31%,1.47%
Bihar,Patna,Mokama,779.6,571.6,36.39%,0.14%
Bihar,Patna,Patna (Musallahpur),7710,7667,0.56%,1.43%
Bihar,Patna,Patna City,45,0,0%,0.01%
Bihar,Purnea,Bhawanipur,295.22,198.6,48.65%,0.05%
Bihar,Purnea,Gulabbagh,2910,2910,0%,0.54%
Bihar,Purnea,Kaswa,140.97,67.71,108.20%,0.03%
Bihar,Rohtas,Dehri,3139,1794,74.97%,0.58%
Bihar,Rohtas,Natwar,159,0,0%,0.03%
Bihar,Rohtas,Nokha,1218.75,534.45,128.04%,0.23%
Bihar,Rohtas,Sasaram,400.5,0,0%,0.07%
Bihar,Rohtas,Vikramganj,565.35,188.45,200%,0.10%
Bihar,Saharsa,Saharsa,6019,2426,148.10%,1.11%
Bihar,Samastipur,Saidpurhat,1010.25,682.5,48.02%,0.19%
Bihar,Samastipur,Samastipur,19662,15212,29.25%,3.64%
Bihar,Samastipur,Tajpur,868,530,63.77%,0.16%
Bihar,Saran,Sonpur,889,36.5,2335.62%,0.16%
Bihar,Sheikhpura,Barbigha,12774.2,10966.8,16.48%,2.37%
Bihar,Sheikhpura,Shekhpura,2417.91,1381.16,75.06%,0.45%
Bihar,Sheohar,Sheohar,586.35,140.2,318.22%,0.11%
Bihar,Sitamarhi,Sitamarhi,14492.5,5499.5,163.52%,2.68%
Bihar,Siwan,Maharjganj,1241,836.1,48.43%,0.23%
Bihar,Siwan,Siwan,35785,22730,57.44%,6.63%
Bihar,Supaul,Birpur,932.25,183.5,408.04%,0.17%
Bihar,Supaul,Supaul,24255,13634,77.90%,4.49%
Bihar,Supaul,Triveniganj,2043.1,350,483.74%,0.38%
Bihar,Vaishali,Hajipur,69876.75,25163.75,177.69%,12.94%
Bihar,Vaishali,"Jaitipir Mandi, Lalganj block",2469,958.5,157.59%,0.46%
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",8799.6,6190,42.16%,1.63%
Bihar,Vaishali,"Pateri Belchar Mandi, Bhagwanpur block",252.5,234.5,7.68%,0.05%
Bihar,West Chambaran,Bettiah,13098,5686,130.36%,2.43%
Bihar,West Chambaran,Narkatiaganj,61.25,61.25,0%,0.01%
Bihar,West Chambaran,Ramnagar,2022.05,104.55,1834.05%,0.37%
Chandigarh,Chandigarh,Chandigarh (F&V),437.98,437.98,0%,0.12%
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),351833.92,422684.28,-16.76%,99.88%
Chhattisgarh,Bilaspur,Bilaspur,3.7,10.2,-63.73%,0.00%
Chhattisgarh,Bilaspur,Tiphra,163950.9,134132.7,22.23%,51.24%
Chhattisgarh,Durg,Durg,22998,20302.2,13.28%,7.19%
Chhattisgarh,Jashpur,Jaspur,11.6,11.6,0%,0.00%
Chhattisgarh,Jashpur,Pathalgaon,0,50,0%,0%
Chhattisgarh,Narayanpur,Narayanpur,46.6,42.8,8.88%,0.01%
Chhattisgarh,Raigarh,Raigarh,70919.4,59060.1,20.08%,22.16%
Chhattisgarh,Raipur,Anand Nagar,3494.5,3529.6,-0.99%,1.09%
Chhattisgarh,Rajnandgaon,Kheragarh,8,8,0%,0.00%
Chhattisgarh,Rajnandgaon,Rajnandgaon,58539.7,47802.7,22.46%,18.30%
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",50,50,0%,0.01%
Goa,North Goa,Mapusa,743503.86,743040.18,0.06%,99.99%
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),2257142.37,2181014.82,3.49%,14.19%
Gujarat,Ahmedabad,Dholka,3093.1,3967.8,-22.04%,0.02%
Gujarat,Ahmedabad,Dholka(Koth),22250,22250,0%,0.14%
Gujarat,Ahmedabad,Dholka(Market Yard Veg),8338,8338,0%,0.05%
Gujarat,Amreli,Babra,3.7,3.7,0%,0.00%
Gujarat,Amreli,Dhari,153.21,187.39,-18.24%,0.00%
Gujarat,Amreli,Dhari(Chalala),3.44,3.44,0%,0.00%
Gujarat,Anand,Anand,31.02,31.02,0%,0.00%
Gujarat,Anand,"Anand(Veg,Yard,Anand)",41914.4,30950.83,35.42%,0.26%
Gujarat,Anand,Anklav,98.82,98.82,0%,0.00%
Gujarat,Anand,Borsad,892.95,911.71,-2.06%,0.01%
Gujarat,Anand,Borsad(Veg Yard Barsad),576.7,576.7,0%,0.00%
Gujarat,Anand,Khambhat(Veg Yard Khambhat),1330.7,1437.7,-7.44%,0.01%
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",923.08,923.08,0%,0.01%
Gujarat,Banaskanth,Deesa,351.9,351.9,0%,0.00%
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),161052.35,159909.35,0.71%,1.01%
Gujarat,Bharuch,Amod,0,4.7,0%,0%
Gujarat,Bharuch,Ankleshwar,4415.74,3325.74,32.77%,0.03%
Gujarat,Bharuch,Bharuch,159769.99,169841.84,-5.93%,1.00%
Gujarat,Bhavnagar,Bhavnagar,2124545.8,2070157.2,2.63%,13.36%
Gujarat,Bhavnagar,Mahuva(Station Road),4864854.97,4257139.97,14.28%,30.59%
Gujarat,Bhavnagar,Palitana,175442.3,174611.9,0.48%,1.10%
Gujarat,Bhavnagar,Taleja,47450.76,32137.35,47.65%,0.30%
Gujarat,Botad,Botad,794.79,1700.17,-53.25%,0.00%
Gujarat,Dahod,Dahod,721.2,1930.85,-62.65%,0.00%
Gujarat,Dahod,Dahod(Veg. Market),62609.77,59222.26,5.72%,0.39%
Gujarat,Dahod,Jhalod,1238,1318.23,-6.09%,0.01%
Gujarat,Gandhinagar,Mansa,263,263,0%,0.00%
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),0,2,0%,0%
Gujarat,Jamnagar,Jamnagar,162746.6,161924.2,0.51%,1.02%
Gujarat,Junagarh,Bhesan,509.66,509.66,0%,0.00%
Gujarat,Junagarh,Junagadh,0.4,47.6,-99.16%,0.00%
Gujarat,Junagarh,Keshod,5.52,5.52,0%,0.00%
Gujarat,Junagarh,Una,0,102.5,0%,0%
Gujarat,Junagarh,Visavadar,10241.5,8027.78,27.58%,0.06%
Gujarat,Kachchh,Bhuj,9164.52,0,0%,0.06%
Gujarat,Kheda,Kapadvanj,22727.3,21891.2,3.82%,0.14%
Gujarat,Kheda,Kathlal,545,545,0%,0.00%
Gujarat,Kheda,"Mehmadabad(Veg ,market)",28.35,28.35,0%,0.00%
Gujarat,Kheda,Nadiad,1714.19,1712.66,0.09%,0.01%
Gujarat,Kheda,Nadiyad(Piplag),37344.45,35957.95,3.86%,0.23%
Gujarat,Mehsana,Mehsana(Mehsana Veg),275982.45,301416.15,-8.44%,1.74%
Gujarat,Mehsana,Vijapur,3.4,3.4,0%,0.00%
Gujarat,Mehsana,Vijapur(veg),8.8,8.8,0%,0.00%
Gujarat,Mehsana,Visnagar,184.8,0,0%,0.00%
Gujarat,Morbi,Vankaner,0,0.5,0%,0%
Gujarat,Morbi,Vankaner(Sub yard),0.24,0.24,0%,0.00%
Gujarat,Narmada,Rajpipla,87,87,0%,0.00%
Gujarat,Navsari,Bilimora,9745.72,11068.52,-11.95%,0.06%
Gujarat,Navsari,Navsari,943.91,0,0%,0.01%
Gujarat,Panchmahals,Godhra,69.07,69.07,0%,0.00%
Gujarat,Patan,"Patan(Veg,Yard Patan)",40,40,0%,0.00%
Gujarat,Patan,Siddhpur,36014.21,62970.21,-42.81%,0.23%
Gujarat,Porbandar,Porbandar,94885.54,62767,51.17%,0.60%
Gujarat,Rajkot,Dhoraji,26686.8,21869.1,22.03%,0.17%
Gujarat,Rajkot,Gondal,2184381.6,2060613.4,6.01%,13.74%
Gujarat,Rajkot,Jasdan,48.8,67.8,-28.02%,0.00%
Gujarat,Rajkot,Jetpur(Dist.Rajkot),37374,37600.6,-0.60%,0.24%
Gujarat,Rajkot,Morbi,29929.3,29952,-0.08%,0.19%
Gujarat,Rajkot,Rajkot,200418.1,228500.2,-12.29%,1.26%
Gujarat,Rajkot,Rajkot(Ghee Peeth),454675.4,373131.4,21.85%,2.86%
Gujarat,Sabarkantha,Himatnagar(Veg.Market Himatnagar),0.5,0.5,0%,0.00%
Gujarat,Surat,Mahuva,975672.7,1321818.9,-26.19%,6.14%
Gujarat,Surat,Songadh,0.19,0.19,0%,0.00%
Gujarat,Surat,Surat,727578.32,710651.82,2.38%,4.58%
Gujarat,Surendranagar,Vadhvan,10300.91,10477.41,-1.68%,0.06%
Gujarat,Vadodara(Baroda),Padra,14205.2,12216.3,16.28%,0.09%
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),638628.82,593200.7,7.66%,4.02%
Hariyana,Ambala,Ambala Cantt.,44530.42,62021.87,-28.20%,2.20%
Hariyana,Ambala,Ambala City,38595.94,49214.64,-21.58%,1.91%
Hariyana,Ambala,Ambala City(Subji Mandi),34723.33,20688.59,67.84%,1.72%
Hariyana,Ambala,Barara,10689.21,10547.87,1.34%,0.53%
Hariyana,Ambala,Mullana,285.91,323.91,-11.73%,0.01%
Hariyana,Ambala,Naneola,477.9,3488.95,-86.30%,0.02%
Hariyana,Ambala,Naraingarh,31381.48,33040.92,-5.02%,1.55%
Hariyana,Ambala,Shahzadpur,1771.51,1719.65,3.02%,0.09%
Hariyana,Bhiwani,Behal,17.5,17.7,-1.13%,0.00%
Hariyana,Bhiwani,Bhiwani,22420.18,21553.38,4.02%,1.11%
Hariyana,Bhiwani,Ch. Dadri,10799.71,18366.11,-41.20%,0.53%
Hariyana,Bhiwani,Jui,177.38,179.7,-1.29%,0.01%
Hariyana,Bhiwani,Loharu,442.3,590.1,-25.05%,0.02%
Hariyana,Bhiwani,Loharu(Dighwa),300.5,300.5,0%,0.01%
Hariyana,Bhiwani,Siwani,947.1,986.3,-3.97%,0.05%
Hariyana,Bhiwani,Tosham,120.95,158.45,-23.67%,0.01%
Hariyana,Faridabad,Ballabhgarh,53511.7,51341.5,4.23%,2.65%
Hariyana,Faridabad,Faridabad,116902.1,122806.67,-4.81%,5.79%
Hariyana,Faridabad,"New Grain Market , Faridabad",18496.15,8357.75,121.31%,0.92%
Hariyana,Fatehabad,Bhuna,815.13,845.92,-3.64%,0.04%
Hariyana,Fatehabad,Dharsul,3633,0,0%,0.18%
Hariyana,Fatehabad,Fatehabad,21720.68,20630.92,5.28%,1.08%
Hariyana,Fatehabad,Jakhal,1156.55,1289.4,-10.30%,0.06%
Hariyana,Fatehabad,Ratia,15626.42,15725.45,-0.63%,0.77%
Hariyana,Fatehabad,Tohana,4818.6,6165.8,-21.85%,0.24%
Hariyana,Fatehabad,Tohana(New Veg Market),1437.25,813.5,76.67%,0.07%
Hariyana,Gurgaon,Farukh Nagar,3506.7,4313.83,-18.71%,0.17%
Hariyana,Gurgaon,Gurgaon,270086.52,353657.62,-23.63%,13.37%
Hariyana,Gurgaon,Pataudi,7902.52,7621.52,3.69%,0.39%
Hariyana,Gurgaon,Rerozepur Zhirka,123.8,198.85,-37.74%,0.01%
Hariyana,Gurgaon,Sohna,11068.57,11348.17,-2.46%,0.55%
Hariyana,Hissar,Adampur,4.8,8.9,-46.07%,0.00%
Hariyana,Hissar,Barwala(Hisar),37579.05,37453.75,0.33%,1.86%
Hariyana,Hissar,Hansi,8186.21,5314.78,54.03%,0.41%
Hariyana,Hissar,Hissar,30125.32,32294.53,-6.72%,1.49%
Hariyana,Hissar,Narnaund,1592.32,1780.66,-10.58%,0.08%
Hariyana,Hissar,Rattia,0,1.4,0%,0%
Hariyana,Hissar,Uklana,3367.15,3708.55,-9.21%,0.17%
Hariyana,Jhajar,Bahadurgarh,8366.98,8090.53,3.42%,0.41%
Hariyana,Jhajar,Jhajjar,12751.7,13868.2,-8.05%,0.63%
Hariyana,Jind,Jind,35923.1,37591,-4.44%,1.78%
Hariyana,Jind,Jullana,7.7,0,0%,0.00%
Hariyana,Jind,Narwana,16300.35,13933.88,16.98%,0.81%
Hariyana,Jind,Safidon,5950.45,5852.5,1.67%,0.29%
Hariyana,Kaithal,Cheeka,5100.52,3899.38,30.80%,0.25%
Hariyana,Kaithal,Dhand,2259.3,3561.61,-36.57%,0.11%
Hariyana,Kaithal,Kaithal,38563.4,31932.45,20.77%,1.91%
Hariyana,Kaithal,Kalayat,122.67,163.57,-25.00%,0.01%
Hariyana,Kaithal,Pai(Rajaund),31,31,0%,0.00%
Hariyana,Kaithal,Pundri,649.68,1053.91,-38.36%,0.03%
Hariyana,Kaithal,Siwan,3637.56,3417.71,6.43%,0.18%
Hariyana,Karnal,Asandh,5128.42,5392.82,-4.90%,0.25%
Hariyana,Karnal,Gharaunda,29705.22,31832.42,-6.68%,1.47%
Hariyana,Karnal,Indri,457.66,596.55,-23.28%,0.02%
Hariyana,Karnal,Jundla,34.46,34.46,0%,0.00%
Hariyana,Karnal,"New Grain Market(main), Karnal",29927.6,18198.2,64.45%,1.48%
Hariyana,Karnal,Nilokheri,523.47,546.07,-4.14%,0.03%
Hariyana,Karnal,Nissing,23.25,23.25,0%,0.00%
Hariyana,Karnal,Tarori,630.37,619.89,1.69%,0.03%
Hariyana,Kurukshetra,Babain,32554.29,30365.79,7.21%,1.61%
Hariyana,Kurukshetra,Iamailabad,802.81,1524.73,-47.35%,0.04%
Hariyana,Kurukshetra,Ladwa,2856.51,2514.81,13.59%,0.14%
Hariyana,Kurukshetra,Pehowa,2401.9,2578.3,-6.84%,0.12%
Hariyana,Kurukshetra,Pipli,94413.55,143517.55,-34.21%,4.67%
Hariyana,Kurukshetra,Shahabad,18009.91,19030.35,-5.36%,0.89%
Hariyana,Kurukshetra,Thanesar,72625.33,66643.63,8.98%,3.59%
Hariyana,Mahendragarh-Narnaul,Ateli,419.21,614.49,-31.78%,0.02%
Hariyana,Mahendragarh-Narnaul,Khanina,890.24,996.16,-10.63%,0.04%
Hariyana,Mahendragarh-Narnaul,Mohindergarh,21770.86,22116.79,-1.56%,1.08%
Hariyana,Mahendragarh-Narnaul,Narnaul,6186,5657.2,9.35%,0.31%
Hariyana,Mewat,FerozpurZirkha(Nagina),410.35,228.95,79.23%,0.02%
Hariyana,Mewat,Hathin,85.58,111.82,-23.47%,0.00%
Hariyana,Mewat,Nuh,1657.91,1332.21,24.45%,0.08%
Hariyana,Mewat,Punhana,3000.74,2575.24,16.52%,0.15%
Hariyana,Mewat,Taura,5361.82,5865.42,-8.59%,0.27%
Hariyana,Palwal,Hassanpur,577.3,688.6,-16.16%,0.03%
Hariyana,Palwal,Hodal,1047.8,1461.7,-28.32%,0.05%
Hariyana,Palwal,Palwal,12344.5,17901.8,-31.04%,0.61%
Hariyana,Panchkula,Barwala,39404.25,35873.02,9.84%,1.95%
Hariyana,Panchkula,"New Grain Market , Panchkula",1077,872,23.51%,0.05%
Hariyana,Panchkula,Panchkul(Kalka),2180,1978,10.21%,0.11%
Hariyana,Panchkula,Panchkula,4571,4799.63,-4.76%,0.23%
Hariyana,Panchkula,Raipur Rai,409.22,807.09,-49.30%,0.02%
Hariyana,Panipat,Bapauli,624.01,624.01,0%,0.03%
Hariyana,Panipat,Israna,15,115.27,-86.99%,0.00%
Hariyana,Panipat,Madlauda,5126.35,5243.91,-2.24%,0.25%
Hariyana,Panipat,Panipat,77969.5,75266.7,3.59%,3.86%
Hariyana,Panipat,Samalkha,2863.85,3202.93,-10.59%,0.14%
Hariyana,Rewari,Kosli,410.25,572.15,-28.30%,0.02%
Hariyana,Rewari,Rewari,22430.56,25217.75,-11.05%,1.11%
Hariyana,Rohtak,Meham,17600.9,20784.3,-15.32%,0.87%
Hariyana,Rohtak,"New Grain Market , Rohtak",81610.25,81610.25,0%,4.04%
Hariyana,Rohtak,Rohtak,111765.27,113393.71,-1.44%,5.53%
Hariyana,Rohtak,Sampla,4056.12,4052.3,0.09%,0.20%
Hariyana,Sirsa,Dabwali,68926.98,90859.85,-24.14%,3.41%
Hariyana,Sirsa,Ding,16.7,16.7,0%,0.00%
Hariyana,Sirsa,Ellanabad,2279.7,2177.56,4.69%,0.11%
Hariyana,Sirsa,kalanwali,4924.56,5353.88,-8.02%,0.24%
Hariyana,Sirsa,Rania,793.02,814.58,-2.65%,0.04%
Hariyana,Sirsa,Rania(Jiwan nagar),43.22,43.22,0%,0.00%
Hariyana,Sirsa,Sirsa,39557.7,38373.9,3.08%,1.96%
Hariyana,Sonipat,Ganaur,3694.29,3477.19,6.24%,0.18%
Hariyana,Sonipat,Gohana,13750.3,12849.2,7.01%,0.68%
Hariyana,Sonipat,Sonepat,28052.25,27869.6,0.66%,1.39%
Hariyana,Sonipat,Sonepat(Kharkhoda),1647,1238.4,32.99%,0.08%
Hariyana,Yamuna Nagar,Bilaspur,254.52,419.42,-39.32%,0.01%
Hariyana,Yamuna Nagar,Chhachhrauli(Khizrabad),1917.91,1917.91,0%,0.09%
Hariyana,Yamuna Nagar,Chhachrauli,1559.35,1681.01,-7.24%,0.08%
Hariyana,Yamuna Nagar,Jagadhri,22472.41,24535.77,-8.41%,1.11%
Hariyana,Yamuna Nagar,Mustafabad,1648.79,1677.92,-1.74%,0.08%
Hariyana,Yamuna Nagar,Radaur,29465.6,26103.6,12.88%,1.46%
Hariyana,Yamuna Nagar,Sadhaura,6684.64,7574.99,-11.75%,0.33%
Hariyana,Yamuna Nagar,Yamuna Nagar,137566.88,147463.48,-6.71%,6.81%
Himachal Pradesh,Bilaspur,Bilaspur,4385.87,3962.87,10.67%,4.27%
Himachal Pradesh,Bilaspur,Namhol(Bilaspur),0,0.5,0%,0%
Himachal Pradesh,Chamba,Chamba,3043.54,2956.81,2.93%,2.97%
Himachal Pradesh,Hamirpur,Hamirpur,5747.27,5957.31,-3.53%,5.60%
